Name;ISIN;Symbol;Market;Trading Currency;Open;High;Low;Last;Last Date/Time;Time Zone;Volume;Turnover
DUTCH STAR C SHAR;NL0012747059;DSC1;Euronext Amsterdam;EUR;9.8;9.8;9.8;9.8;16/12/2019;CET;30;294
DUTCH STAR C WAR;NL0012747067;DSC1W;Euronext Amsterdam;EUR;0.5;0.5;0.5;0.5;06/12/2019;CET;2200;1100
DYNAFOND;FR0000052920;MLDYN;Euronext Access Paris;EUR;2.98;2.98;2.98;2.98;10/12/2019;CET;100;298
DYNEX ENERGY SA;LU0881232630;MLDYX;Euronext Access Paris;EUR;3.4;3.4;3.4;3.4;04/09/2019;CET;3;10.2
E.ON SE;DE000ENAG999;EON;Traded not listed Brussels;EUR;9.5;9.55;9.004;9.004;16/12/2019;CET;1300;11886.816
EASE2PAY NV;NL0000345627;EAS2P;Euronext Amsterdam;EUR;1.3;1.3;1.22;1.252;16/12/2019;CET;72035;90080.8
EASSON HOLDINGS;HK0000038783;MLEAS;Euronext Access Paris;EUR;0.374;0.374;0.374;0.374;11/12/2019;CET;50;18.7
EASYVISTA;FR0010246322;ALEZV;Euronext Growth Paris;EUR;69.5;70;69.5;70;16/12/2019;CET;401;27927
EAUX DE ROYAN;FR0007200100;MLEDR;Euronext Access Paris;EUR;143;143;143;143;16/12/2019;CET;2;286
EAVS;FR0010536185;MLEAV;Euronext Access Paris;EUR;13.95;13.95;13.95;13.95;23/07/2010;CET;10;139.5
ECA;FR0010099515;ECASA;Euronext Paris;EUR;28;28.2;27.9;28;16/12/2019;CET;915;25659.9
ECFC;BE0003783975;-;Euronext Expert Market;EUR;3780;3780;3780;3780;05/11/2019;CET;6;22680
ECOLUTIONS;DE000A0XYM45;MLECO;Euronext Access Paris;EUR;1.25;1.25;1.25;1.25;21/12/2016;CET;100;125
ECONOCOM GROUP;BE0974313455;ECONB;Euronext Brussels;EUR;2.3;2.332;2.27;2.306;16/12/2019;CET;179859;415396.932
ECOSLOPS;FR0011490648;ALESA;Euronext Growth Paris;EUR;11.4;11.5;11.2;11.5;16/12/2019;CET;10865;123086.25
EDENRED;FR0010908533;EDEN;Euronext Paris;EUR;44.39;45.4;44.39;45.3;16/12/2019;CET;394787;17825378.39
EDF;FR0010242511;EDF;Euronext Paris;EUR;9.702;9.75;9.54;9.67;16/12/2019;CET;2287007;22078958.636
EDILIZIACROBATICA;IT0005351504;ALEAC;Euronext Growth Paris;EUR;7;7;7;7;16/12/2019;CET;1;7
EDITIONS DU SIGNE;FR0000052755;MLEDS;Euronext Access Paris;EUR;0.456;0.456;0.45;0.45;16/12/2019;CET;12900;5867.4
EDP;PTEDP0AM0009;EDP;Euronext Lisbon;EUR;3.759;3.799;3.751;3.799;17/12/2019;BST;8362121;31693236.138
EDP RENOVAVEIS;ES0127797019;EDPR;Euronext Lisbon;EUR;10.08;10.2;10.06;10.18;17/12/2019;BST;129263;1314834.08
EDUNIVERSAL;FR0010439265;MLEDU;Euronext Access Paris;EUR;8.42;8.42;8.42;8.42;18/04/2012;CET;850;7157
EES;FR0010945733;MLEES;Euronext Access Paris;EUR;0.26;0.26;0.26;0.26;10/12/2019;CET;1510;392.6
EGIDE;FR0000072373;GID;Euronext Paris;EUR;0.94;0.954;0.93;0.93;16/12/2019;CET;7860;7453.022
EIFFAGE;FR0000130452;FGR;Euronext Paris;EUR;101.3;101.9;101.2;101.7;16/12/2019;CET;193186;19592510.95
EKINOPS;FR0011466069;EKI;Euronext Paris;EUR;5.47;5.8;5.45;5.73;16/12/2019;CET;167846;945437.41
ELEC.STRASBOURG;FR0000031023;ELEC;Euronext Paris;EUR;120;120;117.5;120;16/12/2019;CET;1545;184584
ELECT. MADAGASCAR;FR0000035719;EEM;Euronext Paris;EUR;3.58;3.58;3.58;3.58;16/12/2019;CET;300;1074
ELIA;BE0003822393;ELI;Euronext Brussels;EUR;77;78.8;77;78.5;16/12/2019;CET;65248;5105536
ELIOR GROUP;FR0011950732;ELIOR;Euronext Paris;EUR;12.86;13.2;12.85;13.12;16/12/2019;CET;396825;5195135.91
ELIS;FR0012435121;ELIS;Euronext Paris;EUR;18.5;18.86;18.43;18.71;16/12/2019;CET;380547;7103625.39
EMAKINA GROUP;BE0003843605;ALEMK;Euronext Growth Brussels;EUR;9.6;9.6;9.6;9.6;10/12/2019;CET;87;835.2
EMD MUSIC;BE0003849669;EMD;Euronext Expert Market;EUR;1.3;1.3;1.3;1.3;24/07/2018;CET;600;780
EMOVA BS;FR0013245123;ALEBS;Euronext Growth Paris;EUR;0.0005;0.0005;0.0005;0.0005;13/12/2019;CET;535829;267.91
EMOVA GROUP;FR0013356755;ALEMV;Euronext Growth Paris;EUR;1.9;1.915;1.72;1.75;16/12/2019;CET;13407;24224.695
EMULATION;BE0024644065;-;Euronext Expert Market;EUR;253.34;253.34;253.34;253.34;19/09/2017;CET;5;1266.7
ENCRES DUBUIT;FR0004030708;ALDUB;Euronext Growth Paris;EUR;4.11;4.12;4.11;4.12;16/12/2019;CET;34;140.07
ENENSYS;FR0013330792;ALNN6;Euronext Growth Paris;EUR;0.85;0.89;0.85;0.88;16/12/2019;CET;7937;6958.438
ENERTIME;FR0011915339;ALENE;Euronext Growth Paris;EUR;1.12;1.16;1.12;1.14;16/12/2019;CET;5379;6149.39
ENGIE;FR0010208488;ENGI;Euronext Paris, Brussels;EUR;14.635;14.81;14.61;14.645;16/12/2019;CET;6519847;95592037.88
ENGIE EPS;FR0012650166;EPS;Euronext Paris;EUR;7.8;8.19;7.8;8;16/12/2019;CET;9626;76221.88
ENI;IT0003132476;ENI;Traded not listed Brussels;EUR;13.65;13.65;13.65;13.65;16/12/2019;CET;180;2457
ENTREPARTICULIERS;FR0010424697;ALENT;Euronext Growth Paris;EUR;0.925;0.98;0.925;0.98;16/12/2019;CET;1250;1184.725
ENTREPRENDRE;FR0000045122;ALENR;Euronext Growth Paris;EUR;19.8;19.8;19.8;19.8;19/12/2018;CET;28;554.4
ENVEA;FR0010278762;ALTEV;Euronext Growth Paris;EUR;91;91;89.8;90.2;16/12/2019;CET;3188;289113
ENVIPCO;NL0009901610;ENVI;Euronext Amsterdam, Brussels;EUR;10.8;10.8;10.8;10.8;16/12/2019;CET;1;10.8
EO2;FR0010465534;ALEO2;Euronext Growth Paris;EUR;4.05;4.05;4.02;4.05;16/12/2019;CET;273;1101.96
EOS IMAGING;FR0011191766;EOSI;Euronext Paris;EUR;2.22;2.32;2.22;2.27;16/12/2019;CET;223564;510743.685
ERAMET;FR0000131757;ERA;Euronext Paris;EUR;42.03;42.75;41.55;42.34;16/12/2019;CET;127698;5390644.55
ERYTECH PHARMA;FR0011471135;ERYP;Euronext Paris;EUR;4.22;4.22;4.15;4.22;16/12/2019;CET;13781;57582.88
ESI GROUP;FR0004110310;ESI;Euronext Paris;EUR;28.5;29.6;28.5;29.6;16/12/2019;CET;2792;81710.2
ESKER;FR0000035818;ALESK;Euronext Growth Paris;EUR;88.1;89.3;88.1;89;16/12/2019;CET;3247;288776.15
ESPERITE;NL0009272137;ESP;Euronext Amsterdam, Paris;EUR;0.043;0.043;0.042;0.0426;16/12/2019;CET;100370;4270.0705
ESSILORLUXOTTICA;FR0000121667;EL;Euronext Paris;EUR;141;142.7;140.85;141.75;16/12/2019;CET;516250;73096292.15
ESSO;FR0000120669;ES;Euronext Paris;EUR;22;22.3;21.9;22;16/12/2019;CET;4400;97308.1
ESTORIL SOL N;PTESO0AM0000;ESON;Euronext Lisbon;EUR;8.75;8.75;8.75;8.75;17/12/2019;BST;240;2100
ETEX;BE0941244536;-;Euronext Expert Market;EUR;14.6;14.6;14.6;14.6;10/12/2019;CET;14805;216153
EUPEN FINANZ;BE0049483135;-;Euronext Expert Market;EUR;151.1;151.1;151.1;151.1;28/07/2015;CET;348;52582.8
EURASIA FONC INV;FR0000061475;EFI;Euronext Paris;EUR;0.22;0.22;0.22;0.22;29/11/2019;CET;30;6.6
EURASIA GROUPE;FR0010844001;ALEUA;Euronext Growth Paris;EUR;7.2;7.2;7.2;7.2;08/03/2019;CET;20;144
EURAZEO;FR0000121121;RF;Euronext Paris;EUR;61.35;62.15;61.25;61.7;16/12/2019;CET;140802;8686983.8
EURO RESSOURCES;FR0000054678;EUR;Euronext Paris;EUR;2.92;3.04;2.92;3.04;16/12/2019;CET;2639;7797.18
EUROBIO-SCIENTIFIC;FR0013240934;ALERS;Euronext Growth Paris;EUR;4.1;4.1;4.01;4.04;16/12/2019;CET;3836;15648.18
EUROCASTLE INVEST.;GB00B94QM994;ECT;Euronext Amsterdam;EUR;7.5;7.7;7.5;7.56;16/12/2019;CET;7152;54533.9
EUROCOMMERCIAL;NL0000288876;ECMPA;Euronext Amsterdam, Brussels;EUR;24.78;25.1;24.78;24.94;16/12/2019;CET;74424;1857267.04
EUROFINS CEREP;FR0013256518;ALECR;Euronext Growth Paris;EUR;6200;6200;6200;6200;21/11/2019;CET;1;6200
EUROFINS SCIENT.;FR0000038259;ERF;Euronext Paris;EUR;493.8;497;491.4;495;16/12/2019;CET;25270;12498318.2
EUROGERM;FR0010452474;ALGEM;Euronext Growth Paris;EUR;31.4;31.8;31.4;31.8;16/12/2019;CET;202;6393.2
EUROLAND CORPORATE;FR0010157115;MLERO;Euronext Access Paris;EUR;0.77;0.77;0.77;0.77;11/12/2019;CET;300;231
EUROMEDIS GROUPE;FR0000075343;EMG;Euronext Paris;EUR;4.6;4.6;4.6;4.6;16/12/2019;CET;1081;4972.6
EURONAV;BE0003816338;EURN;Euronext Brussels;EUR;10.23;10.52;10.16;10.49;16/12/2019;CET;1487993;15403781.66
EURONEXT;NL0006294274;ENX;Euronext Paris, Amsterdam, Brussels;EUR;70.5;71.7;70.5;71.2;16/12/2019;CET;205619;14644856.35
EURONEXT;NL0006294274;ENXP;Euronext Lisbon;EUR;-;-;-;-;-;BST;-;-
EUROPACORP;FR0010490920;ECP;Euronext Paris;EUR;0.755;0.756;0.725;0.74;16/12/2019;CET;34299;25593.103
EUROPCAR MOBILITY;FR0012789949;EUCAR;Euronext Paris;EUR;4.17;4.35;4.142;4.316;16/12/2019;CET;1372293;5861261.498
EUROPLASMA;FR0000044810;ALEUP;Euronext Growth Paris;EUR;0.0078;0.0078;0.0069;0.0072;16/12/2019;CET;21498105;153819.9291
EUROPLASMA BSC;FR0013294089;EURBU;Euronext Growth Paris;EUR;0.001;0.0014;0.001;0.0014;16/12/2019;CET;302945;306.589
EUROPUBLIDIS;BE0003842599;ALPBS;Euronext Growth Brussels;EUR;0.22;0.22;0.22;0.22;25/11/2019;CET;200;44
EUTELSAT COMMUNIC.;FR0010221234;ETL;Euronext Paris;EUR;15.29;15.35;15.01;15.12;16/12/2019;CET;565917;8562783.27
EVADIX;BE0003840577;ALEVA;Euronext Growth Brussels;EUR;0.17;0.17;0.17;0.17;05/12/2019;CET;50;8.5
EVERSET;FR0000044745;MLEVE;Euronext Access Paris;EUR;0.11;0.11;0.11;0.11;11/11/2019;CET;2540;279.4
EVOLIS;FR0004166197;ALTVO;Euronext Growth Paris;EUR;29.7;30.2;29.7;30.2;16/12/2019;CET;24785;743554.9
EVS BROADC.EQUIPM.;BE0003820371;EVS;Euronext Brussels;EUR;20.8;20.85;20.6;20.85;16/12/2019;CET;10678;221689.55
EXACOMPTA CLAIREF.;FR0000064164;EXAC;Euronext Paris;EUR;118;118;118;118;16/12/2019;CET;48;5664
EXEL INDUSTRIES;FR0004527638;EXE;Euronext Paris;EUR;42.5;43;42.3;43;16/12/2019;CET;617;26305.4
EXMAR;BE0003808251;EXM;Euronext Brussels;EUR;5.1;5.13;5.09;5.12;16/12/2019;CET;43188;220563.59
EXPLOS.PROD.CHI.PF;FR0000037343;EPCP;Euronext Paris;EUR;990;990;990;990;14/11/2019;CET;3;2970
EXPLOSIFS PROD.CHI;FR0000039026;EXPL;Euronext Paris;EUR;750;765;750;765;09/12/2019;CET;17;12840
FAGRON;BE0003874915;FAGR;Euronext Brussels, Amsterdam;EUR;18.95;19.46;18.89;19.44;16/12/2019;CET;257788;4948068.08
FARMINVESTE;PTFNV1AM0002;MLFMV;Euronext Access Lisbon;EUR;4.9;4.9;4.9;4.9;30/11/2019;BST;600;2940
FASHION B AIR;FR0004034593;ALFBA;Euronext Growth Paris;EUR;0.462;0.5;0.462;0.5;16/12/2019;CET;553177;260285.872
FASTNED;NL0013654809;FAST;Euronext Amsterdam;EUR;13.75;13.8;13.68;13.7;16/12/2019;CET;7406;101766.59
FAURECIA;FR0000121147;EO;Euronext Paris;EUR;51.08;51.1;49.87;50.62;16/12/2019;CET;377274;19064587.05
FAUVET GIREL;FR0000063034;FAUV;Euronext Paris;EUR;31.6;31.6;31.6;31.6;22/11/2019;CET;2;63.2
FAYENC.SARREGUEMI.;FR0000031973;FAYE;Euronext Paris;EUR;36;36;36;36;21/11/2019;CET;5;180
FBD HOLDINGS PLC;IE0003290289;EG7;Euronext Dublin;EUR;8.9;8.9;8.7;8.86;16/12/2019;UTC;7596;66652.54
FD;FR0012300424;MLFDV;Euronext Access Paris;EUR;0.59;0.59;0.59;0.59;16/12/2019;CET;249;146.91
FDJ;FR0013451333;FDJ;Euronext Paris;EUR;23.8;23.95;23.49;23.68;16/12/2019;CET;248577;5905540.295
FENALU;PTFEN0AP0006;FEN;Euronext Access Lisbon;EUR;0.01;0.01;0.01;0.01;08/12/2018;BST;1000;10
FERM.CAS.MUN.CANNE;FR0000062101;FCMC;Euronext Paris;EUR;1750;1750;1750;1750;16/12/2019;CET;4;7000
FERMENTALG;FR0011271600;FALG;Euronext Paris;EUR;1.38;1.394;1.358;1.37;16/12/2019;CET;19998;27580.374
FFP;FR0000064784;FFP;Euronext Paris;EUR;103.4;105.8;103.2;105.2;16/12/2019;CET;5869;614399.2
FI BELGO-TUNISIENN;BE0011238830;-;Euronext Expert Market;EUR;221.1;221.1;221.1;221.1;07/07/2015;CET;323;71415.3
FIDUCIAL OFF.SOL.;FR0000061418;SACI;Euronext Paris;EUR;28.2;28.2;28.2;28.2;16/12/2019;CET;1;28.2
FIDUCIAL REAL EST.;FR0000060535;ORIA;Euronext Paris;EUR;196;196;196;196;16/12/2019;CET;22;4312
FIGEAC AERO;FR0011665280;FGA;Euronext Paris;EUR;11;11.2;11;11.18;16/12/2019;CET;10439;116023.8
FILAE;FR0010221069;ALFIL;Euronext Growth Paris;EUR;6.9;6.9;6.9;6.9;16/12/2019;CET;6;41.4
FIMMOBEL;BE0945246784;-;Euronext Expert Market;EUR;450;450;450;450;04/12/2018;CET;1;450
FIN.ETANG BERRE;FR0000062341;BERR;Euronext Paris;EUR;5.2;5.2;5.2;5.2;16/12/2019;CET;1000;5200
FIN.ETANG BERRE PF;FR0000062507;EBPF;Euronext Paris;EUR;104;104;104;104;19/09/2019;CET;6;624
FIN.OUEST AFRICAIN;SN0000033192;FOAF;Euronext Paris;EUR;9.05;9.05;9.05;9.05;02/12/2019;CET;2;18.1
FINANCIERE MARJOS;FR0000060824;FINM;Euronext Paris;EUR;0.316;0.316;0.316;0.316;16/12/2019;CET;3551;1122.116
FINANCIERE ODET;FR0000062234;ODET;Euronext Paris;EUR;798;808;798;808;16/12/2019;CET;1267;1021198
FINASUCRE;BE0012544319;-;Euronext Expert Market;EUR;3650;3650;3650;3650;17/03/2015;CET;10;36500
FINATIS;FR0000035123;FNTS;Euronext Paris;EUR;26.8;26.8;26.8;26.8;13/12/2019;CET;24;643.2
FINAXO;FR0010487272;MLFXO;Euronext Access Paris;EUR;4.7;4.7;4.7;4.7;25/07/2018;CET;1000;4700
FIPP;FR0000038184;FIPP;Euronext Paris;EUR;0.282;0.294;0.282;0.294;16/12/2019;CET;15736;4489.884
FIRST DERIVATIVES;GB0031477770;GYQ;Euronext Growth Dublin;EUR;31.95;31.95;31.8;31.8;13/12/2019;UTC;33;1051.95
FIRSTCAUTION;CH0120879058;MLFIR;Euronext Access Paris;EUR;6.75;7;6.75;7;02/07/2019;CET;4802;32711.25
FLEMALLE GRANDE;BE0105003496;-;Euronext Expert Market;EUR;78;78;78;78;02/07/2019;CET;6;468
FLERON-HASSELT;BE0101619600;-;Euronext Expert Market;EUR;14.5;14.5;14.5;14.5;02/07/2019;CET;4;58
FLEURY MICHON;FR0000074759;FLE;Euronext Paris;EUR;28.8;28.9;28.7;28.9;16/12/2019;CET;738;21274
FLEURYMBSAR22MAR20;FR0011408731;FLEBS;Euronext Paris;EUR;8;8;8;8;27/09/2018;CET;500;4000
FLEXDEAL;PTFXD0AM0018;FLEXD;Euronext Lisbon;EUR;5;5;5;5;03/12/2019;BST;567;2835
FLEXOS S.A.;BE0003885051;FLEX;Euronext Access Brussels;EUR;1.99;1.99;1.99;1.99;17/06/2019;CET;50;99.5
FLORIDIENNE;BE0003215143;FLOB;Euronext Brussels;EUR;191;191;190;190;16/12/2019;CET;588;111942
FLOW TRADERS;NL0011279492;FLOW;Euronext Amsterdam;EUR;21.2;21.38;21.2;21.28;16/12/2019;CET;97443;2076849.76
FLUTTER ENTERTAIN;IE00BWT6H894;FLTR;Euronext Dublin;EUR;106.95;108.15;106.4;107.1;16/12/2019;UTC;72091;7731647.85
FLUXYS BELGIUM D;BE0974265945;FLUX;Euronext Brussels;EUR;29.1;29.2;28.7;29;16/12/2019;CET;3143;91155.2
FNAC DARTY;FR0011476928;FNAC;Euronext Paris;EUR;51.25;52.15;51.1;52.15;16/12/2019;CET;56356;2913215.85
FNG NV;BE0974332646;FNG;Euronext Brussels, Amsterdam;EUR;13.7;13.7;13.5;13.5;16/12/2019;CET;1523;20778.1
FOCUS HOME INT;FR0012419307;ALFOC;Euronext Growth Paris;EUR;22.65;23;22.55;23;16/12/2019;CET;8019;183852.7
FONC ATLAND BSA;FR0012951028;FATBS;Euronext Paris;EUR;3.5;3.5;3.5;3.5;04/11/2019;CET;11;38.5
FONC. PARIS NORD;FR0011277391;FPN;Euronext Paris;EUR;0.03;0.03;0.0298;0.03;16/12/2019;CET;25546;761.5908
FONCIERE 7 INVEST;FR0000065930;LEBL;Euronext Paris;EUR;1;1;1;1;02/12/2019;CET;600;600
FONCIERE ATLAND;FR0000064362;FATL;Euronext Paris;EUR;158;159;153;159;16/12/2019;CET;12;1865
FONCIERE EURIS;FR0000038499;EURS;Euronext Paris;EUR;17.2;17.2;17.1;17.1;16/12/2019;CET;680;11638
FONCIERE INEA;FR0010341032;INEA;Euronext Paris;EUR;41.2;41.8;41.2;41.8;16/12/2019;CET;409;17012.2
FONCIERE LYONNAISE;FR0000033409;FLY;Euronext Paris;EUR;72.6;73.4;71.6;73.2;16/12/2019;CET;617;44823.4
FONCIERE VINDI;FR0011605617;MLVIN;Euronext Access Paris;EUR;2.48;2.48;2.48;2.48;13/12/2019;CET;1;2.48
FONCIERE VOLTA;FR0000053944;SPEL;Euronext Paris;EUR;7.35;7.35;7.35;7.35;16/12/2019;CET;132;970.2
FOOT LOCKER;US3448491049;FOOTL;Traded not listed Brussels;USD;-;-;-;-;-;CET;-;-
FORESTIERE EQUAT.;CI0000053161;FORE;Euronext Paris;EUR;680;680;680;680;10/12/2019;CET;10;6800
FORFARMERS;NL0011832811;FFARM;Euronext Amsterdam;EUR;5.75;5.84;5.68;5.82;16/12/2019;CET;82414;476221.13
FOUNTAIN;BE0003752665;FOU;Euronext Brussels;EUR;1.15;1.15;1.15;1.15;16/12/2019;CET;1732;1991.8
FOUNTAINE PAJOT;FR0010485268;ALFPC;Euronext Growth Paris;EUR;88;88.4;85.2;85.8;16/12/2019;CET;11925;1545813.2
FOYER;NSCEX0000018;-;Euronext Expert Market;EUR;64.01;64.01;64.01;64.01;08/03/2016;CET;125;8001.25
FRANCAISE ENERGIE;FR0013030152;LFDE;Euronext Paris;EUR;17.05;17.45;17.05;17.45;16/12/2019;CET;2323;40102.8
FRANCE SOIR GROUPE;FR0013222346;MLFSG;Euronext Access Paris;EUR;0.015;0.015;0.015;0.015;16/12/2019;CET;24000;360
FRANCE TOURISME;FR0010823724;MLFTI;Euronext Access Paris;EUR;0.0295;0.0295;0.0295;0.0295;16/12/2019;CET;1500;44.25
FREELANCE.COM;FR0004187367;ALFRE;Euronext Growth Paris;EUR;2.52;2.52;2.46;2.48;16/12/2019;CET;1228;3065.62
FREY;FR0010588079;FREY;Euronext Paris;EUR;31.7;31.9;31.7;31.9;16/12/2019;CET;271;8615.7
FUGRO;NL0000352565;FUR;Euronext Amsterdam;EUR;9.632;9.632;9.44;9.484;16/12/2019;CET;635683;6050199.478
FUT.CLUBE PORTO;PTFCP0AM0008;FCP;Euronext Lisbon;EUR;0.7;0.7;0.7;0.7;17/12/2019;BST;10;7
FUTUREN;FR0011284991;FTRN;Euronext Paris;EUR;1.15;1.15;1.15;1.15;16/12/2019;CET;598905;688740.75
G.A.I.;FR0000053415;MLGAI;Euronext Access Paris;EUR;70;70;70;70;16/04/2019;CET;1;70
GALAPAGOS;BE0003818359;GLPG;Euronext Amsterdam, Brussels;EUR;188;191.2;185.05;191.2;16/12/2019;CET;414875;78511742
GALEO;FR0011100759;MLGAL;Euronext Access Paris;EUR;0.28;0.28;0.28;0.28;16/12/2019;CET;2;0.56
GALIMMO;FR0000030611;GALIM;Euronext Paris;EUR;18.2;18.2;18.2;18.2;16/12/2019;CET;1;18.2
GALP ENERGIA-NOM;PTGAL0AM0009;GALP;Euronext Lisbon;EUR;14.62;14.835;14.605;14.7;17/12/2019;BST;1291775;19027273.07
GASCOGNE;FR0000124414;ALBI;Euronext Growth Paris;EUR;3.08;3.22;3.08;3.18;16/12/2019;CET;6122;19367.46
GAUMONT;FR0000034894;GAM;Euronext Paris;EUR;139.5;139.5;136.5;137.5;16/12/2019;CET;149;20518.5
GAUSSIN;FR0010342329;ALGAU;Euronext Growth Paris;EUR;0.2;0.207;0.1925;0.196;16/12/2019;CET;4914307;972362.3944
GAUSSIN BSAR;FR0011462803;GAUBS;Euronext Growth Paris;EUR;0.098;0.108;0.098;0.098;16/12/2019;CET;9856;1005.888
GBL;BE0003797140;GBLB;Euronext Brussels;EUR;93.3;94.28;93.2;94.12;16/12/2019;CET;183887;17197832.9
GEA GRENOBL.ELECT.;FR0000053035;GEA;Euronext Paris;EUR;107;107;105;106;16/12/2019;CET;189;19961
GECI INTL;FR0000079634;GECP;Euronext Paris;EUR;0.034;0.038;0.0328;0.0367;16/12/2019;CET;2826680;102453.4568
GECI INTL BSAR A;FR0013266764;GECBT;Euronext Paris;EUR;0.003;0.0052;0.003;0.0052;16/12/2019;CET;4202;12.7304
GECINA NOM.;FR0010040865;GFC;Euronext Paris;EUR;153.8;155.3;153.8;154.9;16/12/2019;CET;94723;14673969.4
GEN BELGE ARGENTIN;BE6303070104;-;Euronext Expert Market;EUR;27.82;27.82;27.82;27.82;10/07/2018;CET;650;18083
GENERAL ELECTRIC;US3696041033;GNE;Euronext Paris;EUR;9.7;10.2;9.7;9.951;16/12/2019;CET;8302;83583.582
GENERIX GROUP;FR0010501692;GENX;Euronext Paris;EUR;6.8;6.8;6.68;6.7;16/12/2019;CET;4329;29371.6
GENEURO;CH0308403085;GNRO;Euronext Paris;EUR;3.45;3.45;3.44;3.44;16/12/2019;CET;1805;6223.29
GENFIT;FR0004163111;GNFT;Euronext Paris;EUR;15.22;15.61;15.17;15.53;16/12/2019;CET;380757;5875695.65
GENK LOGIST. CERT;BE0003740546;GENK;Euronext Brussels;EUR;50.1;50.1;50;50;16/12/2019;CET;100;5004.5
GENKYOTEX;FR0013399474;GKTX;Euronext Paris, Brussels;EUR;2.27;2.27;2.1;2.15;16/12/2019;CET;34433;75742.15
GENOMIC VISION;FR0011799907;GV;Euronext Paris;EUR;0.328;0.3395;0.305;0.33;16/12/2019;CET;1082358;347910.0265
GENOWAY;FR0004053510;ALGEN;Euronext Growth Paris;EUR;1.21;1.25;1.21;1.25;16/12/2019;CET;5068;6259.02
GENSIGHT BIOLOGICS;FR0013183985;SIGHT;Euronext Paris;EUR;2.625;2.68;2.45;2.52;16/12/2019;CET;612408;1574008.365
GENT;BE0013603239;-;Euronext Expert Market;EUR;10.5;10.5;10.5;10.5;10/09/2019;CET;18;189
GENTLEMENS EQUITY;PTGVE1AE0009;MLGEQ;Euronext Access Paris;EUR;0.01;0.01;0.01;0.01;02/12/2019;CET;1;0.01
GETLINK SE;FR0010533075;GET;Euronext Paris, London;EUR;15.65;15.78;15.42;15.47;16/12/2019;CET;1328305;20602167.23
GEVELOT;FR0000033888;ALGEV;Euronext Growth Paris;EUR;199;199;199;199;16/12/2019;CET;299;59501
GIMV;BE0003699130;GIMB;Euronext Brussels;EUR;55;55.1;54.7;54.8;16/12/2019;CET;35499;1947139.1
GL EVENTS;FR0000066672;GLO;Euronext Paris;EUR;23.3;23.9;23.2;23.9;16/12/2019;CET;11020;258926.2
GLANBIA PLC;IE0000669501;GL9;Euronext Dublin;EUR;9.97;9.97;9.63;9.64;16/12/2019;UTC;369142;3584083.33
GLENVEAGH PROP.PLC;IE00BD6JX574;GVR;Euronext Dublin;EUR;0.81;0.81;0.79;0.79;16/12/2019;UTC;1063531;842966.482
GLINTT;PTPAD0AM0007;GLINT;Euronext Lisbon;EUR;0.144;0.144;0.143;0.143;17/12/2019;BST;6243;897.48
GLOBAL BIOENERGIES;FR0011052257;ALGBE;Euronext Growth Paris;EUR;2.86;2.875;2.85;2.865;16/12/2019;CET;6924;19804.275
GLOBAL ECOPOWER;FR0011289198;ALGEP;Euronext Growth Paris;EUR;1.75;1.75;1.685;1.75;16/12/2019;CET;20232;34498.3
GLOBAL GRAPHICS;GB00BYN5BY03;GLOG;Euronext Brussels;EUR;3.42;3.5;3.42;3.5;16/12/2019;CET;5119;17758.07
GOLD BY GOLD;FR0011208693;ALGLD;Euronext Growth Paris;EUR;1.13;1.13;1.13;1.13;12/12/2019;CET;510;576.3
GOSSON KESSALES;BE0011395465;-;Euronext Expert Market;EUR;55.11;55.11;55.11;55.11;09/06/2015;CET;1;55.11
GOUR MEDICAL;FR0013371507;MLGML;Euronext Access Paris;EUR;0.5999;0.5999;0.5999;0.5999;16/12/2019;CET;134;80.3866
GPE GROUP PIZZORNO;FR0010214064;GPE;Euronext Paris;EUR;13.4;13.4;13.25;13.25;16/12/2019;CET;252;3371.25
GPE PAROT (AUTO);FR0013204070;ALPAR;Euronext Growth Paris;EUR;4.04;4.1;4.04;4.1;16/12/2019;CET;237;971.64
GRAINES VOLTZ;FR0000065971;GRVO;Euronext Paris;EUR;68.5;69;68.5;69;16/12/2019;CET;845;58044.5
GRANDVISION;NL0010937066;GVNV;Euronext Amsterdam;EUR;27.38;27.42;27.38;27.4;16/12/2019;CET;52143;1428627.04
GREAT WESTERN MIN.;IE00B1FR8863;8GW;Euronext Growth Dublin;EUR;0.0016;0.0016;0.0016;0.0016;12/12/2019;UTC;2249;3.6
GRECEMAR;FR0013406881;MLCMG;Euronext Access Paris;EUR;6.5;6.5;6.5;6.5;16/12/2019;CET;15;97.5
GREEN ENERGY GE4S;BE0948833760;MLGES;Euronext Access Paris;EUR;5.8;5.8;5.8;5.8;02/12/2019;CET;28;162.4
GREENCOAT REN.;IE00BF2NR112;GRP;Euronext Growth Dublin;EUR;1.205;1.21;1.2;1.205;16/12/2019;UTC;459407;553356.511
GREENYARD;BE0003765790;GREEN;Euronext Brussels;EUR;4.68;4.785;4.6;4.665;16/12/2019;CET;45629;213053.97
GROTTES DE HAN/s/L;BE0057677594;-;Euronext Expert Market;EUR;122;122;122;122;21/11/2017;CET;63;7686
GROUPE CARNIVOR;FR0000076960;MLGRC;Euronext Access Paris;EUR;17.5;17.5;17.5;17.5;16/12/2019;CET;10;175
GROUPE CRIT;FR0000036675;CEN;Euronext Paris;EUR;72.5;72.8;72.5;72.7;16/12/2019;CET;482;35035.3
